Column1,Product,Handle,Price,,,,,
211,Tailor-Made Pants,tailor-made-pants-camel,165,,,,,
212,That's A Wrap Top,womens-wrap-top-blouse-shirt-thats-a-wrap,150,,,,,
213,That's A Wrap Top,thats-a-wrap-top-white-2,150,,,,,
214,That's A Wrap Top,thats-a-wrap-top-moss-1,150,,,,,
215,That's A Wrap Top,thats-a-wrap-top-papaya,150,,,,,
216,That's A Wrap Top,thats-a-wrap-top-sunflower,150,,,,,
217,That's A Wrap Top,thats-a-wrap-top-merlot,150,,,,,
218,Three-In-One Hat,three-in-one-hat-black,85,,,,,
219,Three-In-One Hat,three-in-one-hat-pepper,85,,,,,
220,Three-In-One Hat,three-in-one-hat-latte,85,,,,,
221,Three-In-One Hat,three-in-one-hat-oat,85,,,,,
222,Throw And Roll Leggings,womens-mid-rise-leggings-throw-and-roll,135,,,,,
223,Throw And Roll Leggings,throw-and-roll-leggings-navy,135,,,,,
224,Throw It Higher Leggings,womens-leggings-with-pockets-throw-it-higher,165,,,,,
225,Throw It Higher Leggings,throw-it-higher-legging,165,,,,,
226,Throw It Higher Leggings,throw-it-higher-leggings-midnight,165,,,,,
227,Throw It Higher Leggings,throw-it-higher-leggings-teal,165,,,,,
228,Throw It Higher Leggings,throw-it-higher-leggings-steel-blue,165,,,,,
229,Top Notch Scoop Neck Top,top-notch-scoop-neck-top-mineral,75,,,,,
230,Trailblazer Belted Blazer - Latte,trailblazer-belted-blazer-latte,260,,,,,
231,Trailblazer Belted Blazer - Oat,trailblazer-belted-blazer-oat,260,,,,,
232,Turn It Around Pants,womens-straight-leg-dress-pants-turn-it-around,170,,,,,
233,Turn It Around Pants,turn-it-around-pants-black,170,,,,,
234,Turn It Around Pants,turn-it-around-pants-shadow,170,,,,,
235,Turn It Up Pants,womens-tapered-pants-trousers-turn-it-up,170,,,,,
236,Turn It Up Pants,turn-it-up-pants-moss,170,,,,,
237,Turn It Up Pants,turn-it-up-pants-camel,170,,,,,
238,Turn It Up Pants,copy-of-turn-it-up-pants,170,,,,,
239,Turn It Up Pants,turn-it-up-pants-pinstripe,170,,,,,
240,Turn It Up Pants,turn-it-up-pants-sesame,170,,,,,
241,Turn It Up Shorts,turn-it-up-shorts,165,,,,,
242,Turn It Up Shorts,turn-it-up-shorts-latte,165,,,,,
243,Turn It Up Shorts,turn-it-up-shorts-latte-1,165,,,,,
244,Twist + Chill Wrap Top,twist-and-chill-wrap-top-black,140,,,,,
