Cloth_Desc,Listed_Price,,,,,
Calie Tank,$38.00 ,,,,,
Birch Silk Dress,$378.00 ,,,,,
Alaine Silk Dress,$248.00 ,,,,,
Daxton Knit Top,$58.00 ,,,,,
Prudence Knit Dress,$148.00 ,,,,,
Poppies Silk Dress,$298.00 ,,,,,
Benson Silk Skirt,$128.00 ,,,,,
Jackie Knit Top,$58.00 ,,,,,
Poppies Silk Dress,$298.00 ,,,,,
Lindy Knit Top,$78.00 ,,,,,
Winslow Dress,$328.00 ,,,,,
Cowboy High Rise Straight Jeans,$148.00 ,,,,,
Sabine Silk Two Piece,$428.00 ,,,,,
Casette Silk Dress,$328.00 ,,,,,
Jeune Dress,$218.00 ,,,,,
Alyssa High Rise Wide Leg Corduroy Pants,$148.00 ,,,,,
Cowboy High Rise Straight Jeans,$148.00 ,,,,,
Sabine Silk Two Piece,$428.00 ,,,,,
Casette Silk Dress,$328.00 ,,,,,
Jeune Dress,$218.00 ,,,,,
Spritz Silk Top,$128.00 ,,,,,
Marco Bomber Jacket,$198.00 ,,,,,
Maddison Silk Dress,$298.00 ,,,,,
Cynthia High Rise Straight Long Jeans,$148.00 ,,,,,
Mason Pant,$178.00 ,,,,,
Fantino Cashmere Collared Cardigan,$248.00 ,,,,,
Liza Ultra High Rise Straight Jeans,$148.00 ,,,,,
Glenna Cashmere Sweater,$198.00 ,,,,,
Whitmore Coat,$368.00 ,,,,,
Chaine Dress,$178.00 ,,,,,
Petites Baxley Dress,$228.00 ,,,,,
Yucca Linen Two Piece,$298.00 ,,,,,
Calie Tank,$38.00 ,,,,,
Andee Dress,$378.00 ,,,,,
Liza Top,$128.00 ,,,,,
